,tagId,Total Uses,Tag Name
0,17,7711,M/M
1,1,5995,No Archive Warnings Apply
2,9,3009,Creator Chose Not To Use Archive Warnings
3,121,1771,Fluff
4,20845,1526,Teen Wolf (TV)
5,38,1488,Gen
6,20952,1378,Derek Hale/Stiles Stilinski
7,1461,1376,Tony Stark
8,1462,1369,Steve Rogers
9,20991,1333,Stiles Stilinski
10,44,1303,F/M
11,15,1302,Angst
12,20847,1274,Derek Hale
13,621,1017,Hurt/Comfort
14,8020,983,Marvel Cinematic Universe
15,413,930,Graphic Depictions Of Violence
16,144,892,Alternate Universe - Canon Divergence
17,18917,890,Slow Burn
18,10291,866,Clint Barton
19,103,829,Alternate Universe
20,19379,827,"James ""Bucky"" Barnes"
21,26269,813,The Avengers (Marvel Movies)
22,250,804,Humor
23,1934,792,Harry Potter - J. K. Rowling
24,74900,760,방탄소년단 | Bangtan Boys | BTS
25,19377,735,Captain America (Movies)
26,20999,724,Scott McCall
27,16147,691,Natasha Romanov
28,1660,676,Harry Potter
29,105,646,F/F
30,20995,637,Sheriff Stilinski
31,2533,632,Anal Sex
32,287,625,Romance
33,22537,589,Bruce Banner
34,135573,589,Park Jimin (BTS)
35,20996,587,Alpha/Beta/Omega Dynamics
36,151456,586,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia
37,154631,572,Jeon Jungkook
38,187,568,First Time
39,19891,558,"James ""Bucky"" Barnes/Steve Rogers"
40,85876,553,Min Yoongi | Suga
41,115548,548,Kim Taehyung | V
42,863,547,Pining
43,20994,527,Lydia Martin
44,2833,520,Pepper Potts
45,2304,509,Peter Parker
46,31421,507,Isaac Lahey
47,10911,489,Fluff and Angst
48,152678,487,Midoriya Izuku
49,31420,482,Erica Reyes
50,110855,461,Jung Hoseok | J-Hope
51,115547,455,Kim Seokjin | Jin
52,509,452,Smut
53,17237,449,Thor (Marvel)
54,336,436,Draco Malfoy
55,20992,429,Allison Argent
56,24540,428,Angst with a Happy Ending
57,2827,426,Rimming
58,14610,417,Mutual Pining
59,31567,412,Sam Wilson (Marvel)
60,213,411,Multi
61,8019,405,Iron Man (Movies)
62,1757,399,Alternate Universe - Modern Setting
63,500,398,Hermione Granger
64,1856,396,Alternate Universe - College/University
65,33083,391,Vernon Boyd
66,23621,385,Slow Build
67,151458,380,Bakugou Katsuki
68,818,371,Friends to Lovers
69,27836,368,Knotting
70,2236,363,Happy Ending
71,476,362,Original Characters
72,714,361,Canon-Typical Violence
73,1600,360,Blow Jobs
74,298,358,Underage
75,152679,356,Todoroki Shouto
76,7801,352,Emotional Hurt/Comfort
77,2709,350,First Kiss
78,2678,347,Steve Rogers/Tony Stark
79,21690,346,Peter Hale
80,3581,333,"James ""Rhodey"" Rhodes"
81,335,332,Draco Malfoy/Harry Potter
82,2684,329,Ron Weasley
83,826,325,Oral Sex
84,1596,324,Anal Fingering
85,74902,324,Kim Namjoon | Rap Monster
86,27448,320,Laura Hale
87,10913,319,Explicit Sexual Content
88,21572,314,Mating Cycles/In Heat
89,20993,303,Jackson Whittemore
90,28417,295,The Avengers (Marvel) - All Media Types
91,50518,286,Alternate Universe - Soulmates
92,1007,285,Dirty Talk
93,16771,282,Misunderstandings
94,10216,282,Sherlock (TV)
95,286,281,Established Relationship
96,1229,278,Time Travel
97,1590,274,Masturbation
98,3580,266,Nick Fury
99,1546,263,Don't copy to another site
100,3718,261,Getting Together
101,22826,259,Phil Coulson
102,1172,258,Violence
103,151457,255,Kirishima Eijirou
104,19829,254,The Avengers (2012)
105,38528,252,Natasha Romanov (Marvel)
106,881,251,Friendship
107,233209,250,Aizawa Shouta | Eraserhead
108,3253,249,Sherlock Holmes/John Watson
109,232084,248,Yagi Toshinori | All Might
110,226093,243,Uraraka Ochako
111,34610,242,Fake/Pretend Relationship
112,137362,242,Peter Parker & Tony Stark
113,14207,241,Fluff and Smut
114,230901,238,Voltron: Legendary Defender
115,3451,238,Mpreg
116,244675,237,Spider-Man: Homecoming (2017)
117,27347,236,Eventual Smut
118,37857,235,Cora Hale
119,93208,234,The 100 (TV)
120,156599,233,Jeon Jungkook/Kim Taehyung | V
121,92438,228,Min Yoongi | Suga/Park Jimin
122,94033,226,Clarke Griffin
123,447,225,Sherlock Holmes
124,44391,224,Tony Stark Has A Heart
125,19464,224,Keith (Voltron)
126,19463,223,Keith/Lance (Voltron)
127,19465,219,Lance (Voltron)
128,232500,218,Yuri!!! on Ice (Anime)
129,450,218,John Watson
130,90,215,Supernatural
131,130407,212,Clarke Griffin/Lexa
132,16277,211,Wanda Maximoff
133,40143,211,Panic Attacks
134,17960,209,Spider-Man - All Media Types
135,31,209,Major Character Death
136,261089,209,Katsuki Yuuri/Victor Nikiforov
137,17777,207,Loki (Marvel)
138,1595,207,Hand Jobs
139,31842,205,Light Angst
140,99,201,Severus Snape
141,261090,201,Katsuki Yuuri
142,125166,199,Lexa (The 100)
143,3831,199,Domestic Fluff
144,261091,198,Victor Nikiforov
145,26311,196,Other Additional Tags to Be Added
146,17342,196,Post-Traumatic Stress Disorder - PTSD
147,1265,194,Marvel
148,204,193,Rape/Non-Con
149,92,193,Dean Winchester
150,222264,193,Iida Tenya
151,1407,192,Kid Fic
152,3224,191,Naruto
153,157187,189,Jeon Jungkook/Park Jimin
154,25474,186,Soulmates
155,2363,186,Falling In Love
156,1688,185,Minor Character Death
157,1611,184,Frottage
158,3109,182,Albus Dumbledore
159,107441,181,Post-Captain America: Civil War (Movie)
160,459,180,Crack
161,4029,179,Fix-It
162,46183,177,Tony Stark Needs a Hug
163,50413,177,Praise Kink
164,295,176,Future Fic
165,96755,176,Raven Reyes
166,31422,175,Danny Mahealani
167,5037,174,Castiel/Dean Winchester
168,23218,171,Scott McCall (Teen Wolf)
169,35996,170,Alan Deaton
170,209,169,Dubious Consent
171,380378,169,魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù
172,95970,169,Octavia Blake
173,20989,169,Allison Argent/Scott McCall
174,69232,168,Soulmate-Identifying Marks
175,13080,168,Alternate Universe - Human
176,459960,167,Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn
177,223639,167,Midoriya Izuku/Todoroki Shouto
178,101,167,Sirius Black
179,274480,167,Class 1-A (My Hero Academia)
180,96,165,Sam Winchester
181,232085,165,Midoriya Inko
182,230902,165,Shiro (Voltron)
183,878,164,Castiel
184,6576,161,Implied/Referenced Child Abuse
185,23379,159,Cuddling & Snuggling
186,32788,158,Talia Hale
187,19678,158,Hunk (Voltron)
188,61610,158,Haikyuu!!
189,20193,156,Jarvis (Iron Man movies)
190,20846,155,Melissa McCall
191,1750,155,Merlin (TV)
192,1163,155,Kidnapping
193,1202,154,Remus Lupin
194,214843,154,Kaminari Denki
195,255982,152,Shinsou Hitoshi
196,5340,151,Jealousy
197,2342,151,Canon Compliant
198,39839,151,Alpha/Omega
199,2444,150,Rough Sex
200,47758,150,"James ""Bucky"" Barnes/Tony Stark"
201,459962,149,Lán Zhàn | Lán Wàngjī
202,3054,149,Alternate Universe - High School
203,17238,149,Darcy Lewis
204,14331,148,Fluff and Humor
205,459963,148,Wèi Yīng | Wèi Wúxiàn
206,1612,147,Possessive Behavior
207,29541,145,Chris Argent
208,7720,145,Sexual Content
209,30846,144,Thor (Movies)
210,323788,142,Ned Leeds
211,2708,140,Sexual Tension
212,209574,140,Bakugou Katsuki/Midoriya Izuku
213,697,140,AU
214,303406,140,Kim Namjoon | RM
215,8972,140,Depression
216,18152,138,Original Male Character(s)
217,88783,137,Allura (Voltron)
218,3599,137,Hatake Kakashi
