,id,kudos,tag17,tag1,tag9,tag121,tag20845,tag38,tag20952,tag1461,tag1462,tag20991
0,2080878,84819.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8337607,50663.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,5457191,40988.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7841764,36830.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,522776,36759.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
5,234222,36146.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,537876,33486.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,10795731,32062.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,10998828,31907.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,304382,30876.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,822737,30563.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
11,13777626,30428.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,10920276,27200.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
13,5293532,27154.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2734082,26316.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,14446512,26237.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,1488142,26180.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,3101099,25678.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,22478632,25519.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,7331278,25445.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,485218,25116.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,399194,24852.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
22,4371455,24630.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,454948,24028.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
25,411599,23969.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
26,12006417,23953.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,538425,23688.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
28,593514,23682.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
29,3195734,23307.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
30,639852,22962.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
31,8748484,22867.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,522549,22840.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
33,7332586,22777.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,900839,22491.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
35,752428,22444.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
36,7921288,22240.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1439476,22179.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1227880,21990.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,19055863,21751.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,546446,21651.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
41,9121246,21619.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,4433063,21596.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43,862320,21534.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
44,5432915,21403.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,527330,21308.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
47,835829,21169.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,664623,20782.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
49,5367389,20749.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,24280306,20718.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
