,storyId,tagId,Tag Name,Tag Type
0,3,1,No Archive Warnings Apply,warning
1,3,2,Other,category
2,3,3,Viggo Mortensen/Orlando Bloom,relationship
3,3,4,Lord of the Rings RPF,fandom
4,3,5,Sean Bean,character
5,3,6,Viggo Mortensen,character
6,3,7,Orlando Bloom,character
7,3,8,POV Outsider,generic
8,35,9,Creator Chose Not To Use Archive Warnings,warning
9,35,2,Other,category
10,35,10,Farscape,fandom
11,35,11,John Crichton,character
12,35,12,Ka D'Argo,character
13,35,13,Aeryn Sun,character
14,35,14,post-episode,generic
15,35,15,Angst,generic
16,35,16,Blood Brothers,generic
17,63,1,No Archive Warnings Apply,warning
18,63,17,M/M,category
19,63,18,McKay/Brown,relationship
20,63,19,John Sheppard/Rodney McKay,relationship
21,63,20,Stargate Atlantis,fandom
22,63,21,Rodney McKay,character
23,63,22,John Sheppard,character
24,63,23,Katie Brown,character
25,63,24,cupidsbow,generic
26,63,25,clueless,generic
27,63,26,School,generic
28,63,15,Angst,generic
29,87,1,No Archive Warnings Apply,warning
30,87,17,M/M,category
31,87,27,Jayne/Simon,relationship
32,87,28,Firefly,fandom
33,87,29,infirmary,generic
34,87,30,cotton balls,generic
35,123,31,Major Character Death,warning
36,123,17,M/M,category
37,123,32,Jeremy/Peter,relationship
38,123,33,Arabella/Peter,relationship
39,123,34,Captain Blood,fandom
40,123,35,Jeremy,character
41,123,36,Arabella,character
42,123,37,Peter,character
43,165,1,No Archive Warnings Apply,warning
44,165,38,Gen,category
45,165,28,Firefly,fandom
46,165,39,Highlander: The Series,fandom
47,165,40,River Tam,character
48,165,41,Methos,character
49,165,42,Crossover,generic
50,165,43,Dancing,generic
51,202,9,Creator Chose Not To Use Archive Warnings,warning
52,202,44,F/M,category
53,202,45,Mulder/Scully,relationship
54,202,46,Scully/Doggett,relationship
55,202,47,Doggett/Reyes,relationship
56,202,48,X Files,fandom
57,202,49,Dana Scully,character
58,202,50,Remix,generic
59,202,15,Angst,generic
60,223,1,No Archive Warnings Apply,warning
61,223,44,F/M,category
62,223,51,Ronon/Jennifer,relationship
63,223,20,Stargate Atlantis,fandom
64,223,52,Ronon Dex,character
65,223,53,Jennifer Keller,character
66,223,54,Elizabeth Weir,character
67,223,22,John Sheppard,character
68,223,21,Rodney McKay,character
69,223,55,Teyla Emmagan,character
70,223,56,Flash Fic,generic
71,223,57,5 Things,generic
72,247,1,No Archive Warnings Apply,warning
73,247,17,M/M,category
74,247,58,Jim Ellison/Blair Sandburg,relationship
75,247,59,The Sentinel,fandom
76,247,60,Jim Ellison,character
77,247,61,Blair Sandburg,character
78,247,62,Post-TSbyBS,generic
79,268,1,No Archive Warnings Apply,warning
80,268,38,Gen,category
81,268,63,Arrested Development,fandom
82,268,64,Michael Bluth,character
83,268,65,Lucille Bluth,character
84,268,66,GOB Bluth,character
85,268,67,Buster Bluth,character
86,268,68,purimgifts,generic
87,290,1,No Archive Warnings Apply,warning
88,290,2,Other,category
89,290,69,Daria/Tom,relationship
90,290,70,Daria/Jane,relationship
91,290,71,Daria - Fandom,fandom
92,290,72,Daria Morgendorffer,character
93,290,73,Jane Lane,character
94,290,74,Tom Sloane,character
95,290,75,OT3,generic
96,290,76,trio,generic
97,290,77,Yuletide,generic
98,319,1,No Archive Warnings Apply,warning
99,319,17,M/M,category
100,319,78,Shackleton/Hurley,relationship
101,319,79,RPS,fandom
102,319,80,Shackleton,fandom
103,319,81,Ernest Shackleton,character
104,319,82,Frank Hurley,character
105,319,83,polarexplorer,generic
106,319,77,Yuletide,generic
107,340,1,No Archive Warnings Apply,warning
108,340,2,Other,category
109,340,84,Mal/Inara,relationship
110,340,28,Firefly,fandom
111,340,85,Malcolm Reynolds,character
112,340,86,Inara Serra,character
113,340,87,Shepherd Book,character
114,340,88,Zoe Alleyne,character
115,340,89,Simon Tam,character
116,340,57,5 Things,generic
117,361,1,No Archive Warnings Apply,warning
118,361,38,Gen,category
119,361,90,Supernatural,fandom
120,361,91,Sam Winchesterer,character
121,361,92,Dean Winchester,character
122,361,93,John Winchester,character
123,361,94,Pre-Series,generic
124,361,95,Weechesters,generic
125,387,1,No Archive Warnings Apply,warning
126,387,38,Gen,category
127,387,90,Supernatural,fandom
128,387,93,John Winchester,character
129,387,92,Dean Winchester,character
130,387,96,Sam Winchester,character
131,387,97,Mary Winchester,character
132,387,94,Pre-Series,generic
133,387,57,5 Things,generic
134,387,95,Weechesters,generic
135,422,1,No Archive Warnings Apply,warning
136,422,38,Gen,category
137,422,98,Harry Potter - Rowling,fandom
138,422,99,Severus Snape,character
139,422,100,James Potter,character
140,422,101,Sirius Black,character
141,422,102,Drabble,generic
142,422,103,Alternate Universe,generic
143,422,104,snape100,generic
144,451,1,No Archive Warnings Apply,warning
145,451,38,Gen,category
146,451,105,F/F,category
147,451,90,Supernatural,fandom
148,451,106,Jo Harvelle,character
149,451,107,Lenore (Supernatural),character
150,451,108,Gift Fic,generic
151,451,109,POV Female Character,generic
152,474,1,No Archive Warnings Apply,warning
153,474,38,Gen,category
154,474,90,Supernatural,fandom
155,474,93,John Winchester,character
156,474,102,Drabble,generic
157,532,1,No Archive Warnings Apply,warning
158,532,38,Gen,category
159,532,110,Lord of the Rings (Novel),fandom
160,532,111,lotr - Fandom,fandom
161,532,112,Halbarad,character
162,532,113,Aragorn,character
