,index,Unnamed: 0,tagId,Total Uses,Tag Name,Tag Type
0,13,13,1934,219313,Harry Potter - J. K. Rowling,fandom
1,14,14,90,216811,Supernatural,fandom
2,18,18,8020,181007,Marvel Cinematic Universe,fandom
3,33,33,26269,123369,The Avengers (Marvel Movies),fandom
4,34,34,74900,122268,방탄소년단 | Bangtan Boys | BTS,fandom
5,38,38,10216,111159,Sherlock (TV),fandom
6,40,40,151456,107203,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,fandom
7,41,41,20845,105087,Teen Wolf (TV),fandom
8,59,59,19377,78689,Captain America (Movies),fandom
9,66,66,2918,74383,Original Work,fandom
10,70,70,230901,73103,Voltron: Legendary Defender,fandom
11,80,80,61610,67036,Haikyuu!!,fandom
12,86,86,1525,62806,Star Wars - All Media Types,fandom
13,102,102,3224,54151,Naruto,fandom
14,105,105,28781,53720,One Direction (Band),fandom
15,108,108,9042,52335,Homestuck,fandom
16,119,119,28417,46780,The Avengers (Marvel) - All Media Types,fandom
17,128,128,24937,43836,Once Upon a Time (TV),fandom
18,132,132,4889,42344,Game of Thrones (TV),fandom
19,134,134,57096,42206,Shingeki no Kyojin | Attack on Titan,fandom
